"concept","wikidataurl","space","property","insula","region"
"acanthus","http://www.wikidata.org/entity/Q158091","r1-i10-p4-space-24","r1-i10-p4","r1-i10","r1"
"acanthus","http://www.wikidata.org/entity/Q158091","r1-i10-p4-space-48","r1-i10-p4","r1-i10","r1"
"acanthus","http://www.wikidata.org/entity/Q158091","r1-i6-p11-space-b","r1-i6-p11","r1-i6","r1"
"acanthus","http://www.wikidata.org/entity/Q158091","r1-i9-p5-space-10","r1-i9-p5","r1-i9","r1"
"acanthus","http://www.wikidata.org/entity/Q158091","r1-i9-p5-space-8","r1-i9-p5","r1-i9","r1"
"acanthus","http://www.wikidata.org/entity/Q158091","r5-i1-p26-space-p","r5-i1-p26","r5-i1","r5"
"acanthus","http://www.wikidata.org/entity/Q158091","r6-i17-p17-space-via-consolare","r6-i17-p17","r6-i17","r6"
"acanthus","http://www.wikidata.org/entity/Q158091","r6-i7-p23-space-24","r6-i7-p23","r6-i7","r6"
"acanthus","http://www.wikidata.org/entity/Q158091","r6-i7-p25-space-1","r6-i7-p25","r6-i7","r6"
"acanthus","http://www.wikidata.org/entity/Q158091","r7-i1-p25-space-10","r7-i1-p25","r7-i1","r7"
"acanthus","http://www.wikidata.org/entity/Q158091","r7-i15-p2-space-nprime","r7-i15-p2","r7-i15","r7"
"acanthus","http://www.wikidata.org/entity/Q158091","r7-i2-p6-space-e","r7-i2-p6","r7-i2","r7"
"acanthus","http://www.wikidata.org/entity/Q158091","r7-i4-p48-space-13","r7-i4-p48","r7-i4","r7"
"acanthus","http://www.wikidata.org/entity/Q158091","r7-i4-p48-space-4","r7-i4-p48","r7-i4","r7"
"acanthus","http://www.wikidata.org/entity/Q158091","r7-i4-p48-space-6","r7-i4-p48","r7-i4","r7"
"acanthus","http://www.wikidata.org/entity/Q158091","r7-i4-p62-space-4","r7-i4-p62","r7-i4","r7"
"acanthus","http://www.wikidata.org/entity/Q158091","r9-i8-p3-space-33","r9-i8-p3","r9-i8","r9"
"achilles","http://www.wikidata.org/entity/Q41746","r1-i6-p4-space-e","r1-i6-p4","r1-i6","r1"
"achilles","http://www.wikidata.org/entity/Q41746","r6-i15-p1-space-s","r6-i15-p1","r6-i15","r6"
"achilles","http://www.wikidata.org/entity/Q41746","r6-i16-p7-space-b","r6-i16-p7","r6-i16","r6"
"achilles","http://www.wikidata.org/entity/Q41746","r6-i16-p7-space-g","r6-i16-p7","r6-i16","r6"
"achilles","http://www.wikidata.org/entity/Q41746","r6-i7-p18-space-14","r6-i7-p18","r6-i7","r6"
"achilles","http://www.wikidata.org/entity/Q41746","r6-i7-p23-space-24","r6-i7-p23","r6-i7","r6"
"achilles","http://www.wikidata.org/entity/Q41746","r6-i9-p6-space-42","r6-i9-p6","r6-i9","r6"
"achilles","http://www.wikidata.org/entity/Q41746","r7-i3-p29-space-l","r7-i3-p29","r7-i3","r7"
"achilles","http://www.wikidata.org/entity/Q41746","r7-i4-p48-space-6","r7-i4-p48","r7-i4","r7"
"achilles","http://www.wikidata.org/entity/Q41746","r9-i2-p7-space-k","r9-i2-p7","r9-i2","r9"
"achilles","http://www.wikidata.org/entity/Q41746","r9-i3-p5-space-4","r9-i3-p5","r9-i3","r9"
"achilles","http://www.wikidata.org/entity/Q41746","r9-i3-p5-space-5","r9-i3-p5","r9-i3","r9"
"achilles","http://www.wikidata.org/entity/Q41746","r9-i5-p18-space-f","r9-i5-p18","r9-i5","r9"
"achilles","http://www.wikidata.org/entity/Q41746","r9-i5-p2-space-u","r9-i5-p2","r9-i5","r9"
"achilles","http://www.wikidata.org/entity/Q41746","r9-i7-p16-space-c","r9-i7-p16","r9-i7","r9"
"acroterion","http://www.wikidata.org/entity/Q421214","r1-i10-p11-space-12","r1-i10-p11","r1-i10","r1"
"acroterion","http://www.wikidata.org/entity/Q421214","r1-i10-p11-space-4","r1-i10-p11","r1-i10","r1"
"acroterion","http://www.wikidata.org/entity/Q421214","r1-i10-p11-space-7","r1-i10-p11","r1-i10","r1"
"acroterion","http://www.wikidata.org/entity/Q421214","r1-i10-p11-space-8","r1-i10-p11","r1-i10","r1"
"acroterion","http://www.wikidata.org/entity/Q421214","r1-i10-p4-space-19","r1-i10-p4","r1-i10","r1"
"acroterion","http://www.wikidata.org/entity/Q421214","r1-i10-p8-space-3","r1-i10-p8","r1-i10","r1"
"acroterion","http://www.wikidata.org/entity/Q421214","r1-i11-p6-space-4","r1-i11-p6","r1-i11","r1"
"acroterion","http://www.wikidata.org/entity/Q421214","r1-i16-p3-space-2","r1-i16-p3","r1-i16","r1"
"acroterion","http://www.wikidata.org/entity/Q421214","r1-i17-p2-space-4","r1-i17-p2","r1-i17","r1"
"acroterion","http://www.wikidata.org/entity/Q421214","r1-i22-p3-space-1","r1-i22-p3","r1-i22","r1"
"acroterion","http://www.wikidata.org/entity/Q421214","r1-i6-p15-space-e","r1-i6-p15","r1-i6","r1"
